 Size,ListAge,Board,Female,Balance,Liquid,AssetGrowth,Cashflow,StrategyTarget,Management,AdvocacyTrain,Technology,CEP
22.29,6,14,4,0.1162,0.712746,0.039448,0.062175,0,0,0,7,631901.9039
21.75,7,4,5.56,0.0592,0.957682,0.33292,-0.014942,0,0,0,16,603781.4039
22.34,7,11,0,0.0839,1.219436,0.455185,-0.023866,1,0,0,11,558942.5599
20.8,7,11,11.76,0.9458,1.69854,0.083654,0.069784,0,0,0,5,576141.8707
22.29,6,15,7.41,0.025,2.425135,0.150878,0.022655,0,0,0,5,576657.2656
21.97,5,13,8.7,0.009,1.200154,0.261211,0.052315,12,0,0,9,634154.7697
21.97,5,9,5.26,0.1906,0.742666,0.544016,0.249286,0,0,0,9,592383.3442
22.26,5,13,18.18,0.0071,0.964804,0.088221,0.082284,4,0,0,20,543604.5244
21.16,4,7,0,0.1286,1.407513,0.132688,0.225124,0,0,0,6,822394.575
21.57,3,11,10,0.0309,1.203915,0.039758,0.05511,0,0,0,28,587617.9725
21,3,11,8.7,0.0576,6.039436,-0.115907,0.13209,4,0,0,17,625322.2105
20.67,3,9,5.26,0.749,1.294491,0.252554,0.080311,0,0,0,29,2935539.147
21.42,6,13,10.71,0.3487,0.90428,0.432997,0.016829,4,0,0,16,629792.0687
21.45,4,9,5.26,0.036,1.304119,0.046815,0.157716,0,0,0,13,687566.2667
21.49,1,11,5,0.911,1.445678,0.152567,0.074086,1,0,0,11,622110.7801
21.49,1,11,10.53,0.0232,2.326147,0.045769,0.074086,0,0,0,9,656051.6319
21.49,1,9,5.88,0.1333,1.533712,0.138101,0.074086,0,0,0,3,556306.4391
21.49,1,9,0,0.9055,1.466967,0.586444,0.074086,1,0,0,26,672710.545
21.49,1,11,5.26,0.1892,0.320063,0.902266,0.074086,2,0,0,5,617714.5053
19.9,7,10,0,1.4544,0.403151,0.458964,0.004353,0,0,0,0,560081.3095
21.06,7,8,15,1.3171,0.627652,0.124235,0.014153,0,0,0,2,3339535.327
22.32,7,10,4,0.156,0.740603,0.027557,0.094234,0,0,0,7,925853.0527
21.81,8,6,6.67,0.0627,1.166918,0.0583,-0.040214,0,0,0,11,752522.8993
22.57,8,11,0,0.1552,1.202977,0.254049,0.076901,1,0,0,10,774213.8395
21,8,9,15.38,0.8801,1.986991,0.222855,-0.064761,0,0,0,3,791469.5371
