 Size,ListAge,Board,Female,Balance,Liquid,AssetGrowth,Cashflow,StrategyTarget,Management,AdvocacyTrain,Technology,CEP
22.91,10,9,16.67,0.0644,2.256091,0.09353,0.287237,1,0,0,5,524234.764
21.67,9,13,8,1.9756,1.129345,0.267504,0.185561,2,0,0,7,472950.9624
21.58,9,10,5,0.6645,0.407099,0.202208,0.140049,0,0,0,3,562911.9857
20.27,9,9,23.53,1.6113,3.429985,0.141854,0.007311,0,0,0,21,350617.8995
20.17,9,7,17.65,0.4847,41.974749,0.031018,0.029674,0,0,0,2,466799.0216
23.25,10,15,15.38,0.1831,3.126403,0.064598,0.175676,0,0,0,2,592244.5575
22.17,10,13,16.67,0.2314,3.008337,0.60414,0.190912,0,0,0,11,466846.5392
21.93,7,9,6.67,0.1911,0.251665,5.233124,0.610272,0,0,0,1,518220.8907
22.12,7,9,15.79,0.6929,0.980328,0.141489,0.082927,6,0,2,7,554231.5469
21.45,6,9,4.76,0.0105,0.956854,0.077856,0.079448,0,0,0,1,429123.1527
21.64,6,11,13.33,0.5073,1.528441,-0.146392,0.031755,0,0,0,3,247467.9461
22.26,6,11,0,0.8088,2.186409,0.006616,0.153464,0,0,0,2,493973.8439
21.82,1,11,5.26,0.1426,2.842735,-0.034628,0.125571,0,0,0,8,382056.9506
21.24,6,13,3.85,0.6221,6.140945,0.040901,0.085625,0,0,0,3,438864.961
21.71,3,13,9.09,0.8868,0.545058,0.102504,0.052492,0,0,0,5,413157.576
21.67,3,14,0,0.0257,1.188263,0.064358,-0.051183,0,0,0,2,503214.9163
20.98,5,13,0,1.1806,1.655895,-0.044781,0.015315,0,0,1,14,466566.2178
24.7,2,12,0,0.5202,1.006827,0.107658,0.211169,0,0,0,0,517705.0474
23.04,6,9,7.69,0.022,1.469319,-0.056151,0.130749,0,0,0,3,560981.8407
21.55,6,11,10,0.6834,0.822473,0.609656,0.126996,0,0,0,6,667103.9591
20.88,6,10,21.05,1.6602,0.914327,-0.011357,0.082945,0,0,0,7,532873.9874
21.65,5,1,6.67,0.0161,1.257621,0.151688,0.115791,0,0,0,3,107297.8798
21.15,5,11,13.64,1.136,0.811008,-0.080789,0.054383,0,0,0,0,94887.81343
21.17,3,12,5.56,2.3212,1.546812,-0.000128,-0.075013,0,0,0,1,3001.685385
20.99,2,12,5.56,0.0081,0.645895,0.662499,0.138432,0,0,0,2,531250.3789
20.39,2,9,12.5,0.2301,0.808758,-0.460712,0.061839,1,0,0,1,511051.8713
21.82,1,17,8,1.1707,0.668098,0.304195,0.125571,0,0,1,2,957860.6914
21.82,1,9,29.41,0.022,0.630973,0.320828,0.125571,0,0,0,3,549142.0809
21.82,1,13,21.74,0.9318,0.667359,-0.057682,0.125571,0,0,0,6,452606.0647
23.45,10,10,13.33,0.1163,0.980338,0.13032,0.135513,0,0,0,0,554788.7696
20.96,10,12,4.55,1.1209,0.694328,0.10102,0.108103,0,0,0,2,502975.1444
20.84,10,11,15,0.1801,2.126481,0.008912,0.106722,1,0,0,7,409637.0743
21.16,7,9,11.11,0.5573,0.646511,-0.090796,0.077939,4,0,0,6,446770.1104
22.29,7,17,4.17,0.2152,2.159284,0.325451,0.107629,0,0,0,11,455268.7042
22.5,7,11,9.09,0.299,1.530387,0.122108,0.011028,0,0,0,2,383074.2518
21.82,6,15,11.11,1.2127,0.993506,-0.036315,0.125571,5,0,0,6,1554.339583
22.36,7,8,11.76,0.1863,0.593021,3.103312,0.716632,0,0,0,6,519395.4787
23.85,6,9,0,1.2621,0.439564,0.285809,0.080489,1,0,0,5,487802.7922
23.18,9,12,14.29,0.368,0.6964,0.439062,0.093346,4,0,0,4,423128.0479
20.64,9,11,6.67,1.0003,0.906414,-0.013184,0.033771,2,0,0,3,58014.45948
