 Size,ListAge,Board,Female,Balance,Liquid,AssetGrowth,Cashflow,StrategyTarget,Management,AdvocacyTrain,Technology,CEP
22.91,10,9,16.67,0.0644,2.256091,0.09353,0.287237,1,0,0,5,524234.764
21.67,9,13,8,1.9756,1.129345,0.267504,0.185561,2,0,0,7,472950.9624
21.71,6,9,6.25,0.0767,0.671142,0.073241,0.12078,0,0,0,3,1061759.453
22.29,6,14,4,0.1162,0.712746,0.039448,0.062175,0,0,0,7,631901.9039
20.15,10,7,11.76,0.0085,2.055975,0.026957,-0.017285,1,0,0,4,2111994.274
20.62,10,9,10.53,0.1251,1.272875,0.074769,0.094343,0,0,0,4,2220213.742
21.58,9,10,5,0.6645,0.407099,0.202208,0.140049,0,0,0,3,562911.9857
20.27,9,9,23.53,1.6113,3.429985,0.141854,0.007311,0,0,0,21,350617.8995
20.17,9,7,17.65,0.4847,41.974749,0.031018,0.029674,0,0,0,2,466799.0216
23.25,10,15,15.38,0.1831,3.126403,0.064598,0.175676,0,0,0,2,592244.5575
21.93,7,9,6.67,0.1911,0.251665,5.233124,0.610272,0,0,0,1,518220.8907
22.12,7,9,15.79,0.6929,0.980328,0.141489,0.082927,6,0,2,7,554231.5469
20,7,11,26.32,0.4324,5.349285,0.10502,0.141088,0,0,0,29,2142779.768
20.83,7,9,20,1.2308,1.225383,0.593605,0.094513,0,0,0,4,962878.2187
20.8,7,11,11.76,0.9458,1.69854,0.083654,0.069784,0,0,0,5,576141.8707
21.45,6,9,4.76,0.0105,0.956854,0.077856,0.079448,0,0,0,1,429123.1527
21.07,5,9,5.56,0.1486,1.220038,-0.055717,0.067876,0,0,0,5,25631.59621
21.9,6,9,25,0.1972,0.85008,0.169952,0.090455,0,0,0,5,2764379.91
23.46,6,12,5,0.1916,1.348706,0.282674,0.057768,0,0,0,11,9941026.17
22.81,6,11,5,0.0448,1.27912,0.526113,0.25807,4,0,0,43,10606827.84
21.64,6,11,13.33,0.5073,1.528441,-0.146392,0.031755,0,0,0,3,247467.9461
20.38,6,11,15.79,0.0772,1.102118,0.101929,0.111329,0,0,0,7,1199057.885
20.95,6,7,7.14,0.9748,1.221497,0.012579,-0.014101,2,0,0,7,1244506.643
22.29,6,15,7.41,0.025,2.425135,0.150878,0.022655,0,0,0,5,576657.2656
22.76,4,8,7.69,0.0247,1.632938,0.008571,0.163749,0,0,0,3,9079766.241
21.89,6,9,10,0.0035,1.068822,0.031952,-0.022398,0,0,0,4,1833463.778
22.15,5,12,9.09,0.0327,0.777312,0.387634,0.121024,0,0,0,7,2056087.909
21.84,5,8,9.09,0.0539,1.153625,0.465762,0.097149,2,0,0,5,1969013.968
23.43,6,13,5.88,0.7184,1.642865,0.208165,0.160822,0,0,0,10,9879708.817
23.28,4,11,5.56,0.0045,2.285311,0.293217,0.182512,3,0,0,11,9313316.594
21.89,3,11,6.25,0.0293,0.640404,0.064247,0.032316,0,0,0,4,1458040.735
20.67,3,9,5.26,0.749,1.294491,0.252554,0.080311,0,0,0,29,2935539.147
21.67,3,14,0,0.0257,1.188263,0.064358,-0.051183,0,0,0,2,503214.9163
24.7,2,12,0,0.5202,1.006827,0.107658,0.211169,0,0,0,0,517705.0474
24.83,3,11,12.5,0.0181,1.164465,-0.009296,0.237941,0,0,0,2,11955759.33
21.15,6,9,6.67,0.9865,1.789343,0.234806,0.125472,0,1,0,16,2047502.105
23.04,6,9,7.69,0.022,1.469319,-0.056151,0.130749,0,0,0,3,560981.8407
22.26,5,8,6.25,0.0106,1.727788,0.198781,0.105666,1,0,0,40,9728446.083
20.84,5,7,6.67,0.0223,9.427775,-0.041346,0.105439,0,0,0,5,2534903.053
21.74,5,12,10.53,0.0388,0.987135,0.09082,0.129267,2,0,0,21,2225259.397
