 Size,ListAge,Board,Female,Balance,Liquid,AssetGrowth,Cashflow,StrategyTarget,Management,AdvocacyTrain,Technology,CEP
21.36,3,9,5.26,0.0126,1.440186,0.027194,0.111549,2,0,2,16,2359629.981
21.1,3,13,23.81,0.1089,1.770956,-0.079773,-0.118788,2,0,0,4,225217.983
21.74,10,9,0,1.4932,0.845074,0.172706,0.118831,2,0,0,4,2366818.526
20.07,9,9,25,0.0381,2.280849,0.077073,-0.005012,1,0,0,0,2125443.018
21.32,7,9,18.75,0.0321,1.570891,0.497604,-0.083259,0,0,0,3,9574.712022
20.06,7,12,26.32,0.801,1.310542,-0.118656,0.004984,2,0,0,13,898463.7724
23.02,7,15,0,0.0825,0.966713,0.233428,0.12712,0,0,0,9,1503303.455
21.07,5,9,15.79,0.7332,0.296846,0.222152,0.067876,0,0,0,4,2652920.498
22.76,4,9,0,1.202,4.779697,-0.255668,0.163749,0,0,0,1,1549599.471
21.62,6,9,15,0.2312,0.472413,-0.020605,0.046397,0,0,0,7,2296809.032
20.98,6,9,8,2.0807,1.04923,-0.014186,0.135716,2,0,0,9,2244740.544
20.23,6,6,5.26,0.0121,1.123879,0.00172,0.000804,0,0,0,3,1991665.204
22,6,11,7.69,0.1723,2.069086,1.523631,0.070393,0,0,0,3,3121044.46
21.97,5,13,8.7,0.009,1.200154,0.261211,0.052315,12,0,0,9,634154.7697
22.26,5,13,18.18,0.0071,0.964804,0.088221,0.082284,4,0,0,20,543604.5244
22,4,7,13.33,0.0298,1.99945,-0.023796,0.127653,4,0,0,38,2353621.102
20.38,4,12,12,0.1231,0.641698,-0.214374,-0.002965,0,0,0,1,472630.7792
20.71,4,15,16.67,0.0302,0.664011,-0.093936,0.05319,0,0,0,9,2065369.549
21.57,3,11,10,0.0309,1.203915,0.039758,0.05511,0,0,0,28,587617.9725
21,3,11,8.7,0.0576,6.039436,-0.115907,0.13209,4,0,0,17,625322.2105
23,2,17,0,0.0359,0.727347,0.178122,0.37222,0,0,0,6,9444459.518
21.94,6,9,5.26,0.031,1.898957,0.395066,0.176541,0,0,0,24,2554114.583
21.55,6,11,10,0.6834,0.822473,0.609656,0.126996,0,0,0,6,667103.9591
21.42,6,13,10.71,0.3487,0.90428,0.432997,0.016829,4,0,0,16,629792.0687
20.88,6,10,21.05,1.6602,0.914327,-0.011357,0.082945,0,0,0,7,532873.9874
21.93,6,9,0,0.0257,1.399605,0.136225,0.055856,0,0,0,2,10077054.96
21.15,5,11,13.64,1.136,0.811008,-0.080789,0.054383,0,0,0,0,94887.81343
20.69,3,9,13.33,0.0425,3.246386,0.117317,0.110049,1,0,0,10,2385623.561
21.2,3,7,18.75,0.0271,1.020956,0.177203,0.01803,1,0,0,4,2036759.073
20.57,3,9,16.67,0.0155,1.177851,0.114927,0.08222,2,0,1,3,2222305.68
22.06,3,7,21.43,0.0584,2.805018,0.132728,0.212472,0,0,0,4,10259961.74
20.99,2,12,5.56,0.0081,0.645895,0.662499,0.138432,0,0,0,2,531250.3789
21.06,3,9,11.76,0.142,0.92688,0.149308,0.025885,0,0,0,8,3056952.756
21.54,2,9,11.76,1.6348,0.708324,0.562757,0.097889,0,0,0,7,1240471.145
21.04,3,12,10,0.9763,0.577083,0.266721,0.00903,0,0,0,103,24040.2813
20.83,2,9,15.38,0.0882,2.720534,0.147006,0.082835,1,0,0,7,3123539.642
20.14,2,9,4.17,1.0871,3.218323,0.072604,0.045777,2,0,0,6,2482810.006
21.49,1,11,10.53,0.0232,2.326147,0.045769,0.074086,0,0,0,9,656051.6319
21.82,1,17,8,1.1707,0.668098,0.304195,0.125571,0,0,1,2,957860.6914
21.82,1,9,29.41,0.022,0.630973,0.320828,0.125571,0,0,0,3,549142.0809
22.76,1,11,16.67,0.0887,1.374433,0.096812,0.163749,0,0,0,12,9899294.544
20.96,10,12,4.55,1.1209,0.694328,0.10102,0.108103,0,0,0,2,502975.1444
20.84,10,11,15,0.1801,2.126481,0.008912,0.106722,1,0,0,7,409637.0743
20.2,7,9,0,0.0179,1.306567,0.072208,-0.059034,0,1,0,8,2863246.437
23.18,9,12,14.29,0.368,0.6964,0.439062,0.093346,4,0,0,4,423128.0479
21.82,6,9,27.78,0.1115,0.715112,-0.01882,0.125571,2,0,0,6,560748.4777
21.06,7,8,15,1.3171,0.627652,0.124235,0.014153,0,0,0,2,3339535.327
21.52,4,9,10.53,0.0213,0.964859,0.180408,0.139328,4,0,0,19,3591448.651
21.07,4,13,26.32,0.1089,1.193081,-0.025195,0.134622,1,0,0,6,196936.5006
21.89,8,7,8.33,0.1136,1.109411,-0.069278,0.042628,0,0,0,8,35094.18761
21.85,11,9,0,1.416,0.905219,0.11559,0.075887,0,0,0,6,2945151.809
20.11,10,9,21.05,0.0218,2.266822,0.035059,-0.009268,1,0,0,0,2729204.91
21.48,8,9,35.71,0.0307,1.258746,0.177228,0.023865,0,0,0,3,9073.062372
20.19,8,12,38.1,0.7691,0.887866,0.131826,0.054204,0,0,0,4,910865.3324
23.15,8,10,0,0.0775,1.160841,0.142386,0.152162,4,0,0,12,1725084.864
20.9,8,9,15.79,0.7332,0.192246,0.808064,0.194974,0,0,0,3,3320251.916
21.42,7,9,16.67,0.2332,0.395462,-0.18403,0.047053,0,0,0,8,3138649.324
21.1,7,9,8,2.15,1.002609,0.123605,0.267701,0,0,0,25,3362953.572
20.17,7,5,5.56,0.0112,1.163772,-0.057651,-0.01733,0,0,0,2,3108253.512
22.11,7,11,8.33,0.8683,2.799305,0.112659,0.104827,0,0,0,1,5577265.039
22.15,6,12,13.64,0.0228,1.078635,0.192924,-0.007975,7,0,0,7,811135.0282
22.7,6,9,12.5,0.0072,1.016514,0.538688,-0.215572,4,0,0,10,761074.7696
22.03,5,7,6.67,0.0205,1.724461,0.034266,0.088101,2,0,0,39,3180707.231
21.18,6,13,14.29,0.0969,0.668657,-0.014866,0.068298,0,0,0,4,529344.8042
20.66,5,12,16.67,0.028,0.874711,-0.047206,0.072253,4,0,0,5,2926509.497
21.78,4,11,10.53,0.0406,1.061414,0.224893,0.319757,0,0,0,25,894040.6471
21.03,4,11,8.7,0.0715,4.566822,0.025852,0.083596,2,0,0,17,928807.1572
23.28,3,17,0,0.0139,1.204042,0.318841,0.335374,0,0,0,3,10937935.38
22.24,7,9,5.26,0.0671,2.153971,0.354794,0.208517,0,2,0,30,3834058.02
21.67,7,11,10,0.7541,0.847388,0.127544,0.100014,0,0,0,6,791772.0294
21.44,7,10,10.71,0.3487,0.964094,0.023622,0.009046,0,0,0,24,836510.1059
20.85,7,10,20,1.6602,0.71207,-0.030643,0.03213,0,0,0,5,770054.2636
22.24,7,9,0,0.0258,1.077148,0.353377,0.050974,0,0,0,1,11945056.64
21.31,6,11,13.64,1.136,1.279613,0.168723,0.044867,0,0,0,1,105466.8634
20.76,4,8,14.29,0.0431,4.101102,0.067381,0.159928,3,0,0,5,3158587.848
21.18,6,11,13.33,1.2712,2.917075,0.855011,0.068298,0,0,0,2,2867335.249
21.55,4,5,7.69,0.0271,0.787077,0.409258,0.013403,8,0,0,4,2571321.187
20.67,4,9,23.53,0.1287,0.732942,0.103894,0.17276,0,0,0,7,3074611.506
22.58,4,6,14.29,0.0496,1.23957,0.677471,0.30295,0,0,0,3,12184964.55
21.3,3,12,5.56,0.0228,0.621934,0.359538,0.117636,0,0,0,5,682626.3735
21.23,4,9,10.53,0.14,0.766452,0.184019,0.061892,1,0,0,8,4154435.694
21.75,3,9,17.65,1.7308,0.721277,0.237977,0.140697,1,0,0,8,2186594.98
21.69,5,9,26.32,0.6499,0.401673,-0.073371,0.061969,0,0,0,2,73517.11329
21.17,4,11,10.34,0.9691,0.618019,0.142167,0.01884,2,0,0,130,28703.73708
20.95,3,9,15.38,0.0663,2.8852,0.123142,0.116223,1,0,0,5,3781461.203
20.12,3,9,4,1.0871,2.143804,-0.025257,-0.07796,3,0,0,6,2668017.261
21.18,1,9,22.22,0.2242,1.632509,0.129671,0.068298,0,0,0,8,2820178.869
20.81,2,11,10,0.0128,1.731675,0.12929,0.084361,0,0,0,24,898642.0341
21.69,1,11,11.76,0.1699,9.096486,0.096193,0.061969,0,0,0,10,776681.4668
21.24,2,17,7.69,1.1707,0.457501,0.116631,0.089127,0,0,0,4,1207393.713
21.91,2,9,36.84,0.022,0.865751,0.284672,0.083072,0,0,0,4,708083.1169
22.25,2,11,16.67,0.0938,0.863515,0.379835,0.029834,0,0,0,10,11685165.35
20.99,11,12,5,1.1209,0.506433,0.030757,0.120789,0,0,0,3,774274.3052
20.89,11,11,10,0.1253,3.952999,0.056685,-0.168597,1,0,0,9,653031.5643
20.3,8,9,0,0.0542,0.768889,0.101822,0.070392,3,1,0,4,3584816.805
23.48,10,12,14.29,0.2142,0.902288,0.341887,0.079462,4,0,0,3,572940.8639
22.92,8,9,31.58,0.1301,0.47167,0.958611,0.243616,1,0,0,7,751964.5111
21.06,8,9,14.29,1.3171,0.663531,0.001065,0.111392,0,0,0,4,2963263.781
21.6,5,9,10.53,0.078,1.016142,0.076266,0.141544,4,1,0,20,3685853.713
21.06,5,9,23.53,0.1089,1.165793,-0.01234,0.051722,0,0,0,3,252027.6304
21.68,9,7,8.33,0.1144,1.196304,-0.187333,0.045335,2,0,0,6,47588.69587
21.89,12,9,11.11,1.416,0.859725,0.039849,0.042426,0,0,0,7,2224971.396
20.14,11,9,21.05,0.0313,2.150635,0.030893,0.036333,0,0,0,1,2054148.704
21.32,9,9,33.33,0.0244,1.178747,-0.148597,0.065587,0,0,0,2,6898.069806
20.16,7,8,42.86,1.3254,0.650388,-0.024081,0.047645,0,0,0,5,655827.5089
23.33,9,9,0,0.0732,0.950883,0.202563,0.223025,0,1,0,9,2281934.418
21.42,9,9,21.05,0.7332,0.255852,0.677877,0.085876,2,1,0,4,2322837.103
22.98,7,9,12.5,1.1918,2.352869,0.019155,0.111071,0,0,0,4,835293.284
21.27,7,7,20,0.2362,0.329562,-0.029916,0.096203,0,0,0,6,2815902.236
21.21,8,8,6.06,2.0649,0.526712,0.116193,0.177156,0,0,0,17,2642674.125
21.27,7,8,11.11,0.0229,0.947889,-0.095194,0.096203,0,0,0,2,2778716.677
22.25,8,11,7.69,0.8813,3.386244,0.153536,0.12719,0,0,0,1,5521354.329
22.25,7,12,13.64,0.0538,1.110667,0.108387,0.095299,6,0,0,15,1045592.421
22.85,7,9,11.76,0.0069,1.068366,0.166313,0.216941,0,0,0,10,1032129.888
22.26,6,9,5.56,0.0655,1.519356,0.261793,0.14643,5,1,0,29,2713862.197
21.27,7,11,10,0.1545,1.763541,0.396529,0.096203,0,0,0,9,410434.7398
20.66,6,12,11.11,0.0363,0.856325,0.00331,0.105537,3,0,0,4,1912601.316
21.86,5,11,10.53,0.0304,0.800972,0.090939,0.162886,2,1,0,21,1177484.175
21.07,5,11,8.33,0.0419,5.129508,0.04745,0.083233,0,0,0,13,1220399.221
21.27,1,8,0,0.3164,2.134966,0.106037,0.096203,0,0,0,11,2743880.196
22.08,7,15,11.11,1.697,0.547558,-0.159746,0.089441,0,0,0,1,954481.395
23.23,4,17,4.55,0.0314,1.267341,-0.049485,-0.004769,0,0,0,9,10062704.61
22.56,8,9,5,0.0531,1.507739,0.376407,0.208298,0,1,0,39,3034995.53
21.52,8,10,10.53,0.744,0.803574,-0.144971,0.058797,0,0,0,9,981108.8283
21.43,8,13,11.11,0.3519,1.008628,-0.01771,0.050001,0,0,0,22,1086688.411
20.73,8,10,15,1.6602,0.640542,-0.107145,0.067021,0,0,0,3,984313.4342
22.46,8,9,0,0.0579,0.66524,0.250778,0.178377,0,0,0,4,10872411.44
21.41,7,11,14.29,1.1541,0.492815,0.120252,0.073637,0,0,0,1,84160.00121
