 Size,ListAge,Board,Female,Balance,Liquid,AssetGrowth,Cashflow,StrategyTarget,Management,AdvocacyTrain,Technology,CEP
21.53,7,9,0,0.232,1.080947,0.45093,-0.032027,0,0,0,8,2484010.684
21.41,7,15,3.85,0.5906,0.616058,0.208522,0.07486,0,0,0,8,2105063.739
21.06,10,12,20.83,0.0624,8.434939,-0.043747,0.053606,0,0,0,1,79270.93139
22.17,10,13,16.67,0.2314,3.008337,0.60414,0.190912,0,0,0,11,466846.5392
21.18,10,9,5.56,0.0799,1.485384,-0.007529,0.017755,0,1,0,2,2021964.995
21.75,7,4,5.56,0.0592,0.957682,0.33292,-0.014942,0,0,0,16,603781.4039
21.34,6,9,6.67,0.8025,1.214058,0.082799,0.0143102,0,0,0,7,446887.4856
22.34,7,11,0,0.0839,1.219436,0.455185,-0.023866,1,0,0,11,558942.5599
21.51,6,9,5.88,0.0412,5.536684,0.081091,0.024592,2,0,0,1,1847278.51
22.13,6,11,4.76,0.4717,1.091798,0.114182,0.206266,2,0,0,3,9445604.018
20.48,6,8,12.5,1.1494,0.792344,-0.023068,0.045647,2,0,0,1,5495.496496
21.94,6,9,0,0.2134,1.117249,0.048768,0.061748,0,0,0,11,2115444.06
21.54,6,12,12,0.1738,0.717646,0.414127,0.010468,1,1,0,10,38883.03069
22.26,6,11,0,0.8088,2.186409,0.006616,0.153464,0,0,0,2,493973.8439
20.38,6,13,4.55,1.4304,1.596078,0.162244,-0.163353,0,0,0,0,950477.3458
22.93,5,8,0,0.1128,1.310793,0.477339,0.168036,0,0,0,4,8923447.909
21.97,5,9,5.26,0.1906,0.742666,0.544016,0.249286,0,0,0,9,592383.3442
21.82,1,11,5.26,0.1426,2.842735,-0.034628,0.125571,0,0,0,8,382056.9506
21.24,6,13,3.85,0.6221,6.140945,0.040901,0.085625,0,0,0,3,438864.961
23.26,4,15,0,0.0085,1.014083,0.37078,0.207993,5,0,0,6,9744368.808
21.16,4,7,0,0.1286,1.407513,0.132688,0.225124,0,0,0,6,822394.575
21.71,3,13,9.09,0.8868,0.545058,0.102504,0.052492,0,0,0,5,413157.576
