Size,ListAge,Board,Female,Balance,Liquid,AssetGrowth,Cashflow,StrategyTarget,Management,AdvocacyTrain,Technology,CEP
22.91,10,9,16.67,0.0644,2.256091,0.09353,0.287237,1,0,0,5,524234.764
21.67,9,13,8,1.9756,1.129345,0.267504,0.185561,2,0,0,7,472950.9624
21.71,6,9,6.25,0.0767,0.671142,0.073241,0.12078,0,0,0,3,1061759.453
22.29,6,14,4,0.1162,0.712746,0.039448,0.062175,0,0,0,7,631901.9039
21.36,3,9,5.26,0.0126,1.440186,0.027194,0.111549,2,0,2,16,2359629.981
21.1,3,13,23.81,0.1089,1.770956,-0.079773,-0.118788,2,0,0,4,225217.983
21.53,7,9,0,0.232,1.080947,0.45093,-0.032027,0,0,0,8,2484010.684
21.41,7,15,3.85,0.5906,0.616058,0.208522,0.07486,0,0,0,8,2105063.739
21.74,10,9,0,1.4932,0.845074,0.172706,0.118831,2,0,0,4,2366818.526
21.06,10,12,20.83,0.0624,8.434939,-0.043747,0.053606,0,0,0,1,79270.93139
20.15,10,7,11.76,0.0085,2.055975,0.026957,-0.017285,1,0,0,4,2111994.274
20.62,10,9,10.53,0.1251,1.272875,0.074769,0.094343,0,0,0,4,2220213.742
21.58,9,10,5,0.6645,0.407099,0.202208,0.140049,0,0,0,3,562911.9857
20.27,9,9,23.53,1.6113,3.429985,0.141854,0.007311,0,0,0,21,350617.8995
20.17,9,7,17.65,0.4847,41.974749,0.031018,0.029674,0,0,0,2,466799.0216
23.25,10,15,15.38,0.1831,3.126403,0.064598,0.175676,0,0,0,2,592244.5575
22.17,10,13,16.67,0.2314,3.008337,0.60414,0.190912,0,0,0,11,466846.5392
21.18,10,9,5.56,0.0799,1.485384,-0.007529,0.017755,0,1,0,2,2021964.995
20.07,9,9,25,0.0381,2.280849,0.077073,-0.005012,1,0,0,0,2125443.018
21.32,7,9,18.75,0.0321,1.570891,0.497604,-0.083259,0,0,0,3,9574.712022
21.93,7,9,6.67,0.1911,0.251665,5.233124,0.610272,0,0,0,1,518220.8907
22.12,7,9,15.79,0.6929,0.980328,0.141489,0.082927,6,0,2,7,554231.5469
20.06,7,12,26.32,0.801,1.310542,-0.118656,0.004984,2,0,0,13,898463.7724
20,7,11,26.32,0.4324,5.349285,0.10502,0.141088,0,0,0,29,2142779.768
21.75,7,4,5.56,0.0592,0.957682,0.33292,-0.014942,0,0,0,16,603781.4039
21.34,6,9,6.67,0.8025,1.214058,0.082799,0.0143102,0,0,0,7,446887.4856
23.02,7,15,0,0.0825,0.966713,0.233428,0.12712,0,0,0,9,1503303.455
22.34,7,11,0,0.0839,1.219436,0.455185,-0.023866,1,0,0,11,558942.5599
21.07,5,9,15.79,0.7332,0.296846,0.222152,0.067876,0,0,0,4,2652920.498
20.83,7,9,20,1.2308,1.225383,0.593605,0.094513,0,0,0,4,962878.2187
22.76,4,9,0,1.202,4.779697,-0.255668,0.163749,0,0,0,1,1549599.471
20.8,7,11,11.76,0.9458,1.69854,0.083654,0.069784,0,0,0,5,576141.8707
21.62,6,9,15,0.2312,0.472413,-0.020605,0.046397,0,0,0,7,2296809.032
21.45,6,9,4.76,0.0105,0.956854,0.077856,0.079448,0,0,0,1,429123.1527
21.07,5,9,5.56,0.1486,1.220038,-0.055717,0.067876,0,0,0,5,25631.59621
21.9,6,9,25,0.1972,0.85008,0.169952,0.090455,0,0,0,5,2764379.91
21.51,6,9,5.88,0.0412,5.536684,0.081091,0.024592,2,0,0,1,1847278.51
22.13,6,11,4.76,0.4717,1.091798,0.114182,0.206266,2,0,0,3,9445604.018
23.46,6,12,5,0.1916,1.348706,0.282674,0.057768,0,0,0,11,9941026.17
22.81,6,11,5,0.0448,1.27912,0.526113,0.25807,4,0,0,43,10606827.84
